MDMAUD,AGE,SESNEI,UCITY,TIMEDIFF,NUMCHLD,INCOME,WEALTH1,HIT,RAMNTALL,LASTDATE,CONTROLN
XXXX,75.0,1,S,18,,7.0,9.0,3,85.0,9602,117544
C2CM,47.0,,,4,,,,0,1080.0,9702,12277
XXXX,83.0,2,S,18,,5.0,6.0,14,117.0,9603,3381
XXXX,,4,U,18,,,,0,51.0,9601,191176
XXXX,48.0,2,R,30,2.0,4.0,8.0,0,63.0,9512,107358
XXXX,39.0,1,U,18,,4.0,4.0,9,91.0,9603,136865
XXXX,,3,T,30,,2.0,6.0,7,185.5,9512,132934
XXXX,82.0,3,C,30,,5.0,1.0,240,136.0,9512,191689
XXXX,54.0,3,U,30,,2.0,0.0,15,72.0,9511,707
XXXX,58.0,2,T,30,,3.0,8.0,7,177.0,9504,76831
XXXX,,1,S,30,,,,0,71.0,9511,149977
XXXX,69.0,2,U,18,1.0,2.0,2.0,7,198.0,9603,163091
XXXX,57.0,1,C,30,,6.0,9.0,6,203.0,9511,149108
XXXX,79.0,2,R,18,,7.0,,0,120.0,9602,87673
XXXX,56.0,4,U,18,,4.0,0.0,10,25.0,9603,36497
XXXX,52.0,2,T,18,,4.0,4.0,0,66.0,9601,51858
XXXX,88.0,1,S,30,,,,0,113.0,9505,153699
XXXX,72.0,1,S,18,,2.0,,0,30.0,9601,147914
XXXX,57.0,1,S,30,,6.0,,0,115.0,9512,163836
XXXX,26.0,2,R,30,,3.0,5.0,1,113.0,9511,70912
XXXX,,3,R,30,,,,0,127.0,9509,109079
XXXX,83.0,3,T,18,,1.0,,0,391.0,9610,12144
XXXX,56.0,2,S,18,,,,0,50.0,9601,131747
XXXX,60.0,1,S,30,,6.0,9.0,0,60.0,9504,117554
XXXX,33.0,2,U,30,,1.0,1.0,0,35.0,9510,149647
XXXX,50.0,1,T,30,,,,0,75.0,9510,97441
XXXX,41.0,2,T,18,,3.0,3.0,9,50.0,9601,43876
XXXX,46.0,2,S,30,1.0,6.0,2.0,23,128.0,9505,78782
XXXX,74.0,2,R,18,,4.0,6.0,2,262.5,9603,77657
XXXX,80.0,2,C,18,,3.0,3.0,9,33.0,9603,155742
XXXX,49.0,1,S,30,,3.0,8.0,8,15.0,9511,66848
XXXX,59.0,1,S,30,,2.0,7.0,1,25.0,9511,179740
XXXX,88.0,2,C,30,,2.0,4.0,4,238.0,9512,7130
XXXX,76.0,3,U,18,,1.0,2.0,31,86.0,9603,130187
XXXX,88.0,2,C,18,,2.0,6.0,39,139.0,9603,13279
XXXX,47.0,1,C,18,3.0,7.0,9.0,6,162.0,9603,124294
L1CM,69.0,,,18,,6.0,9.0,2,875.0,9611,8273
XXXX,35.0,2,R,30,2.0,2.0,,0,112.0,9512,77249
XXXX,80.0,2,U,30,,,,0,131.0,9505,143898
XXXX,82.0,2,U,18,,2.0,3.0,8,189.0,9602,145150
XXXX,66.0,1,U,18,,,,0,251.0,9605,13311
XXXX,,2,R,30,,,,0,40.0,9506,174844
XXXX,48.0,1,S,18,,6.0,,0,119.0,9601,70997
XXXX,72.0,2,U,5,1.0,4.0,4.0,2,59.0,9701,13001
XXXX,56.0,2,T,30,,7.0,7.0,3,38.0,9512,109641
XXXX,72.0,2,T,18,,7.0,1.0,10,26.0,9603,122866
XXXX,84.0,1,U,30,,7.0,9.0,4,103.0,9510,40492
XXXX,37.0,2,S,18,,5.0,,0,70.0,9601,91637
XXXX,38.0,2,S,18,,,,0,15.0,9602,166631
XXXX,80.0,1,S,30,,6.0,9.0,3,25.0,9509,168029
XXXX,66.0,2,T,30,,5.0,5.0,6,87.0,9504,109169
XXXX,79.0,3,R,30,,3.0,2.0,3,66.0,9511,71046
XXXX,44.0,1,S,18,1.0,6.0,,0,45.0,9601,115691
XXXX,43.0,2,T,30,2.0,5.0,,0,23.0,9511,156033
XXXX,56.0,2,R,30,,5.0,8.0,3,38.0,9511,55148
XXXX,,3,C,30,,,,0,85.0,9512,81290
XXXX,93.0,2,C,30,1.0,5.0,3.0,19,137.0,9512,160027
XXXX,33.0,1,S,18,1.0,7.0,8.0,4,46.0,9602,89350
XXXX,,2,R,30,,,,0,105.0,9512,190337
XXXX,67.0,2,T,18,,2.0,,0,50.0,9603,26911
XXXX,37.0,2,R,30,,3.0,6.0,0,58.0,9512,106568
XXXX,45.0,2,C,30,1.0,7.0,8.0,7,25.0,9504,50225
XXXX,,2,R,18,2.0,5.0,,0,36.0,9601,118442
XXXX,,2,R,18,,7.0,6.0,0,59.0,9602,58863
XXXX,85.0,1,S,30,,6.0,,0,101.0,9512,164941
XXXX,,1,U,30,,,,0,92.0,9507,190116
XXXX,,,,18,,,,0,20.0,9602,144840
XXXX,,1,U,18,,6.0,7.0,14,176.0,9610,186404
XXXX,,3,C,30,,1.0,,0,219.25,9512,81626
XXXX,60.0,2,R,30,,2.0,,0,509.0,9508,35361
XXXX,52.0,1,T,30,,6.0,8.0,4,26.0,9511,123393
XXXX,90.0,2,R,30,,3.0,5.0,5,405.0,9509,12560
XXXX,,3,R,30,,6.0,6.0,0,223.0,9511,47848
XXXX,,2,R,18,,2.0,,0,18.0,9603,31798
XXXX,90.0,2,R,30,,3.0,,0,46.0,9506,34472
XXXX,71.0,2,S,30,,3.0,,0,69.0,9504,129991
XXXX,,2,T,30,,2.0,,0,233.0,9512,176851
XXXX,,,,18,,,,0,46.0,9601,187549
XXXX,82.0,2,T,30,,,,0,227.0,9504,4766
XXXX,78.0,3,S,30,,,,0,172.0,9511,56945
XXXX,42.0,2,R,18,1.0,7.0,,0,99.06,9602,22152
XXXX,,2,T,30,,,,0,175.0,9504,69534
XXXX,,2,R,18,,,,0,21.0,9601,31082
XXXX,,2,R,18,,,,0,113.0,9603,61767
XXXX,64.0,1,S,18,,2.0,7.0,0,80.0,9602,115867
XXXX,30.0,3,S,30,,5.0,,0,119.0,9509,65715
XXXX,76.0,2,C,30,,3.0,5.0,3,109.0,9506,107506
XXXX,,2,S,18,,1.0,3.0,2,131.0,9601,107302
XXXX,64.0,1,S,30,,3.0,,0,69.0,9512,131546
XXXX,81.0,1,C,30,,4.0,8.0,7,190.0,9509,36179
XXXX,59.0,3,S,30,,4.0,6.0,6,25.0,9509,23674
XXXX,,2,R,30,,,,0,482.0,9505,59345
XXXX,,2,R,18,,,,0,43.0,9602,61012
XXXX,38.0,2,T,30,2.0,3.0,,0,24.0,9509,124192
XXXX,36.0,1,T,30,2.0,7.0,9.0,3,202.0,9512,51623
XXXX,83.0,1,T,30,,5.0,9.0,5,32.0,9512,114093
XXXX,52.0,2,R,18,3.0,4.0,,0,172.0,9601,81429
XXXX,,3,C,30,,,,0,20.0,9509,55798
XXXX,82.0,2,S,30,,,,0,97.0,9504,149908
XXXX,76.0,2,U,18,,4.0,6.0,9,29.0,9602,158431
XXXX,70.0,2,U,30,1.0,5.0,,0,49.0,9505,165567
XXXX,,3,R,18,,,,0,50.0,9601,75899
XXXX,77.0,3,C,30,,2.0,,0,116.0,9511,32306
XXXX,67.0,2,S,30,,4.0,6.0,7,128.0,9504,135666
XXXX,79.0,1,U,18,,,,0,28.0,9603,149265
XXXX,40.0,2,T,18,1.0,4.0,,0,102.0,9602,183757
XXXX,,1,T,30,,,,0,35.0,9509,33217
XXXX,,2,T,18,,6.0,,0,305.0,9601,82156
XXXX,50.0,2,U,30,,3.0,4.0,1,65.0,9507,93549
XXXX,,2,S,30,,,,0,177.0,9512,161975
XXXX,73.0,2,R,30,,3.0,1.0,12,15.0,9506,81546
XXXX,77.0,1,U,18,,5.0,8.0,8,48.0,9605,185316
XXXX,53.0,1,C,30,,6.0,,0,345.0,9512,150164
XXXX,,2,S,18,,,,0,70.0,9602,173708
XXXX,59.0,3,R,30,1.0,2.0,0.0,0,95.0,9512,103923
XXXX,50.0,1,C,5,,4.0,7.0,26,217.0,9701,6248
XXXX,38.0,3,U,18,2.0,4.0,,0,55.0,9602,136859
XXXX,55.0,1,S,30,,3.0,5.0,0,183.0,9512,89370
XXXX,62.0,3,R,4,,1.0,0.0,0,504.03,9702,3869
XXXX,81.0,2,U,30,,3.0,6.0,2,93.0,9509,146411
XXXX,54.0,2,S,18,,4.0,,0,140.97,9603,3551
XXXX,,2,R,30,,7.0,,0,65.0,9505,137097
XXXX,66.0,2,R,18,,5.0,,0,96.0,9602,63426
XXXX,,2,R,30,,,,0,115.0,9505,36386
XXXX,59.0,3,U,30,2.0,4.0,0.0,1,20.0,9511,53252
XXXX,49.0,2,S,18,1.0,5.0,8.0,3,70.0,9601,28678
XXXX,70.0,2,T,30,,4.0,,0,105.0,9504,141894
XXXX,88.0,2,S,30,,3.0,4.0,2,270.0,9509,171080
XXXX,,3,C,18,,1.0,,0,78.0,9602,74587
XXXX,78.0,2,T,18,,2.0,7.0,9,85.0,9605,12747
XXXX,40.0,,,30,,3.0,,0,40.0,9512,174425
XXXX,64.0,1,C,30,,7.0,9.0,17,155.0,9509,69087
XXXX,44.0,2,R,30,3.0,4.0,6.0,13,142.0,9509,87659
XXXX,44.0,3,C,30,,4.0,,0,65.0,9504,38290
XXXX,43.0,1,S,18,,,,0,222.0,9602,162124
XXXX,70.0,1,T,30,,7.0,9.0,0,49.0,9512,141728
XXXX,80.0,1,T,18,,5.0,5.0,11,46.0,9602,156023
L1CM,45.0,2,R,18,,7.0,,0,695.0,9612,14457
XXXX,52.0,1,R,30,,6.0,7.0,1,50.0,9508,175075
XXXX,,2,R,30,,4.0,4.0,0,50.0,9511,132629
XXXX,67.0,1,C,30,,6.0,9.0,3,212.0,9512,15622
XXXX,85.0,1,C,18,,5.0,2.0,6,25.0,9603,170908
XXXX,,3,T,30,,,,0,87.0,9512,170496
XXXX,52.0,2,R,30,1.0,2.0,,0,36.0,9509,154285
XXXX,,3,R,18,3.0,3.0,,0,45.0,9603,74831
XXXX,80.0,3,U,18,,2.0,6.0,0,68.0,9603,1733
XXXX,39.0,3,C,30,1.0,3.0,2.0,2,75.0,9509,33578
XXXX,,3,R,18,,,,0,60.0,9603,22044
XXXX,48.0,2,S,18,,3.0,7.0,2,55.0,9602,89079
XXXX,46.0,3,C,30,,4.0,1.0,4,95.0,9510,113365
XXXX,68.0,2,U,18,,,,0,70.0,9603,179845
XXXX,75.0,1,S,30,2.0,7.0,9.0,11,103.0,9508,179110
XXXX,78.0,2,C,30,,1.0,,0,214.0,9506,33371
XXXX,42.0,1,R,30,3.0,4.0,8.0,4,135.0,9511,84789
XXXX,84.0,3,R,30,,1.0,1.0,2,77.0,9506,80869
XXXX,,2,T,30,,,,0,40.0,9511,139787
XXXX,68.0,2,R,30,,1.0,4.0,0,32.97,9504,59570
XXXX,,,,18,,1.0,0.0,0,231.0,9603,12798
XXXX,77.0,1,C,30,,5.0,8.0,0,145.0,9511,125788
XXXX,37.0,2,C,30,,7.0,8.0,2,74.0,9503,76598
XXXX,55.0,1,T,30,1.0,7.0,8.0,18,127.0,9506,89000
XXXX,62.0,3,U,18,2.0,3.0,3.0,16,61.0,9601,130190
XXXX,62.0,2,T,4,,2.0,3.0,4,85.0,9702,188955
XXXX,52.0,2,C,30,2.0,5.0,7.0,2,15.0,9510,119613
XXXX,,1,U,18,,,,0,62.0,9603,179645
XXXX,,,,18,,6.0,8.0,4,25.0,9601,191428
XXXX,50.0,2,U,18,,4.0,6.0,5,80.0,9601,94922
XXXX,69.0,3,S,18,,3.0,,0,452.0,9602,76014
XXXX,76.0,2,S,30,,1.0,6.0,16,99.0,9511,35634
XXXX,,2,S,30,,,,0,64.0,9512,100392
XXXX,63.0,1,S,18,,5.0,9.0,0,52.0,9609,186362
XXXX,66.0,1,S,30,,7.0,8.0,4,86.0,9506,38629
XXXX,44.0,1,U,30,,7.0,,0,15.0,9511,108342
XXXX,46.0,2,T,30,,3.0,6.0,1,30.0,9508,109989
XXXX,46.0,2,R,30,,4.0,,0,90.0,9507,174506
XXXX,37.0,1,T,18,2.0,7.0,9.0,1,174.0,9603,16474
XXXX,69.0,1,S,18,,5.0,7.0,2,86.0,9602,69792
XXXX,36.0,,,30,,5.0,8.0,1,127.0,9512,191517
XXXX,,2,R,30,,1.0,0.0,0,20.0,9506,85688
XXXX,46.0,2,C,30,1.0,5.0,,0,106.0,9511,15767
XXXX,,3,S,30,,3.0,5.0,27,40.0,9511,100110
XXXX,62.0,1,S,18,,5.0,9.0,5,180.0,9601,5706
XXXX,64.0,2,R,30,,7.0,,0,105.0,9512,92279
XXXX,36.0,2,R,30,,5.0,7.0,0,69.0,9505,71154
XXXX,80.0,2,T,30,,1.0,0.0,27,261.0,9512,5891
XXXX,59.0,4,U,30,,4.0,,0,51.0,9512,68292
XXXX,,2,T,18,,3.0,,0,72.0,9601,119014
XXXX,78.0,2,C,30,,,,0,164.0,9512,45324
XXXX,72.0,2,S,30,,3.0,4.0,0,86.0,9507,240
XXXX,,2,C,18,,,,0,100.0,9603,155957
XXXX,58.0,2,T,30,,5.0,,0,107.0,9506,105637
XXXX,,2,R,18,,3.0,2.0,1,60.0,9602,30483
XXXX,,2,R,18,,2.0,,0,96.0,9601,77713
XXXX,34.0,1,T,18,2.0,6.0,8.0,1,182.0,9602,164117
XXXX,58.0,2,R,30,,3.0,4.0,1,129.0,9505,30794
XXXX,63.0,2,S,30,,6.0,8.0,14,178.0,9507,53723
XXXX,57.0,1,C,18,,7.0,6.0,0,676.0,9601,7486
XXXX,54.0,2,R,30,,,,0,111.0,9510,174983
XXXX,,1,R,18,,,,0,62.0,9602,155919
XXXX,65.0,1,U,30,,5.0,9.0,21,118.0,9512,134417
XXXX,76.0,2,C,30,,1.0,,0,56.0,9511,137129
XXXX,79.0,,,18,,2.0,4.0,12,122.0,9611,186855
XXXX,45.0,2,S,30,,4.0,7.0,0,61.0,9512,150618
XXXX,35.0,1,S,18,,5.0,5.0,1,71.0,9601,28343
XXXX,39.0,3,T,30,1.0,6.0,1.0,1,125.0,9512,10178
XXXX,61.0,1,S,4,,6.0,9.0,1,20.0,9702,189353
XXXX,85.0,2,T,30,,5.0,7.0,11,71.0,9512,109092
XXXX,36.0,4,U,30,1.0,4.0,,0,40.0,9507,142465
XXXX,68.0,3,U,4,,5.0,3.0,16,146.0,9702,11667
XXXX,48.0,1,T,30,,2.0,8.0,4,15.0,9506,88268
XXXX,,1,C,18,,5.0,9.0,10,30.0,9602,19454
XXXX,66.0,2,R,30,,3.0,1.0,1,95.0,9512,63695
XXXX,67.0,2,T,30,,5.0,4.0,9,30.0,9504,49978
XXXX,80.0,4,U,30,,4.0,2.0,6,44.0,9510,148586
XXXX,71.0,1,C,30,,4.0,8.0,10,171.0,9504,57329
XXXX,,1,S,18,,,,0,45.0,9601,92363
XXXX,,1,C,18,,2.0,4.0,9,75.0,9612,188390
XXXX,,2,R,18,,,,0,105.0,9601,170070
XXXX,74.0,1,T,30,,5.0,9.0,12,86.0,9510,111443
XXXX,49.0,3,R,18,,3.0,,0,68.0,9603,33672
XXXX,48.0,4,U,30,,5.0,0.0,2,25.0,9506,168733
XXXX,70.0,2,C,30,,5.0,,0,202.0,9512,94320
XXXX,,2,T,5,,4.0,6.0,4,210.0,9701,13211
XXXX,80.0,2,R,18,,3.0,,0,115.0,9601,16911
XXXX,53.0,2,R,18,,4.0,8.0,2,111.0,9601,76204
XXXX,,2,C,30,,,,0,233.72,9506,73871
XXXX,,3,R,30,,1.0,0.0,1,55.0,9512,58964
XXXX,38.0,2,R,30,,,,0,107.0,9512,115394
XXXX,38.0,3,C,30,,3.0,,0,61.0,9512,89141
XXXX,48.0,3,T,30,,4.0,3.0,6,142.0,9512,20834
XXXX,38.0,2,R,30,,,,0,535.0,9511,64465
XXXX,61.0,2,T,18,,3.0,3.0,30,173.0,9601,154146
XXXX,,1,R,18,,4.0,8.0,9,102.0,9602,104511
XXXX,,2,U,18,3.0,5.0,3.0,14,107.0,9602,172244
XXXX,,1,U,30,1.0,6.0,9.0,5,58.0,9510,147584
XXXX,71.0,2,S,30,,3.0,4.0,2,104.25,9508,84012
XXXX,66.0,2,R,18,,3.0,1.0,1,119.0,9601,63210
XXXX,,2,R,30,,4.0,6.0,0,71.0,9505,52521
XXXX,77.0,2,R,30,,6.0,4.0,14,142.0,9511,71311
XXXX,68.0,2,S,30,,4.0,8.0,1,185.0,9507,66576
XXXX,87.0,2,R,18,,3.0,4.0,4,76.0,9603,76118
XXXX,,2,U,30,,,,0,30.0,9509,164606
XXXX,83.0,1,S,18,,6.0,9.0,6,134.0,9603,152011
XXXX,68.0,2,T,30,,,,0,114.0,9510,70949
XXXX,,1,T,30,,,,0,100.0,9510,187654
XXXX,76.0,2,R,30,,1.0,3.0,7,167.0,9504,131429
XXXX,80.0,1,T,30,,2.0,9.0,2,67.0,9512,55333
XXXX,50.0,1,C,30,,6.0,,0,18.0,9509,164041
XXXX,65.0,2,S,30,,,,0,138.0,9504,157451
XXXX,49.0,1,C,30,,7.0,,0,39.0,9504,126472
XXXX,77.0,1,S,30,,2.0,8.0,8,62.0,9512,113299
XXXX,74.0,2,S,18,,4.0,6.0,7,89.0,9602,53569
XXXX,80.0,,,30,,6.0,7.0,1,318.0,9510,52256
XXXX,71.0,2,R,30,,7.0,3.0,0,42.0,9509,72686
XXXX,,1,S,30,,,,0,25.0,9510,165462
XXXX,57.0,1,S,18,,7.0,9.0,3,25.0,9602,68942
XXXX,36.0,2,T,30,,5.0,5.0,0,100.0,9507,51608
XXXX,42.0,2,S,18,,4.0,7.0,4,15.0,9601,83808
XXXX,56.0,1,S,30,,7.0,,0,70.0,9508,45120
XXXX,43.0,3,C,30,,,,0,90.0,9512,72499
XXXX,65.0,2,C,30,,5.0,4.0,9,337.0,9512,34102
XXXX,73.0,2,R,30,,2.0,8.0,1,35.0,9512,20808
XXXX,,2,U,30,,4.0,6.0,5,42.0,9512,145499
XXXX,88.0,4,U,18,,,,0,339.0,9601,4500
XXXX,,1,U,18,,,,0,69.25,9602,188226
XXXX,76.0,1,S,30,,,,0,152.0,9510,60864
XXXX,63.0,2,C,30,,3.0,,0,59.0,9512,51555
XXXX,70.0,2,C,18,,2.0,6.0,1,46.0,9602,17917
XXXX,87.0,2,T,30,,1.0,7.0,4,169.0,9511,111367
XXXX,67.0,3,S,30,,3.0,5.0,27,149.0,9509,121366
XXXX,,2,C,18,,2.0,4.0,11,94.0,9603,112518
XXXX,,2,R,18,,,,0,20.0,9601,27775
XXXX,82.0,3,U,18,,1.0,,0,565.0,9601,7191
XXXX,52.0,3,C,18,,4.0,,0,15.0,9602,48698
XXXX,60.0,2,S,30,,4.0,,0,30.0,9510,131690
XXXX,56.0,1,R,30,1.0,5.0,,0,31.0,9511,181451
XXXX,79.0,2,T,18,,6.0,4.0,2,184.0,9603,109532
XXXX,57.0,1,C,18,,,,0,355.0,9610,620
XXXX,,2,R,18,,1.0,5.0,1,246.8,9603,12068
XXXX,,2,U,30,,,,0,80.0,9508,165593
XXXX,,1,U,30,,,,0,180.0,9505,156429
XXXX,,3,C,18,,,,0,120.0,9602,133703
XXXX,52.0,3,T,30,,5.0,,0,25.0,9512,136158
XXXX,,,,30,,,,0,169.0,9509,191329
XXXX,43.0,4,U,30,,,,0,160.0,9510,37471
XXXX,44.0,2,C,30,,5.0,2.0,2,113.0,9512,177584
XXXX,51.0,2,S,18,,4.0,5.0,6,142.0,9603,91930
XXXX,72.0,1,C,30,,6.0,8.0,9,83.0,9511,43209
XXXX,79.0,3,C,18,,,,0,83.0,9603,66739
XXXX,50.0,3,C,30,,2.0,0.0,10,108.0,9512,129180
XXXX,36.0,2,R,18,,4.0,5.0,4,197.0,9601,49377
XXXX,74.0,2,C,30,,1.0,,0,172.0,9512,180412
XXXX,64.0,2,R,30,,3.0,5.0,2,34.0,9512,58281
XXXX,42.0,2,T,30,,4.0,,0,124.0,9509,126279
XXXX,42.0,1,U,30,,6.0,,0,104.0,9512,144230
XXXX,76.0,3,S,18,,4.0,5.0,0,55.0,9603,175709
XXXX,34.0,2,S,30,1.0,6.0,5.0,2,156.0,9504,33966
XXXX,77.0,2,R,18,,2.0,6.0,3,15.0,9601,20992
XXXX,67.0,1,R,30,,3.0,8.0,0,114.0,9507,64494
XXXX,,1,T,30,,3.0,,0,143.0,9511,182423
XXXX,84.0,2,T,18,,5.0,5.0,2,120.0,9603,8110
XXXX,,1,S,18,,6.0,,0,26.0,9603,150476
XXXX,77.0,2,C,30,,1.0,0.0,3,77.0,9511,138186
XXXX,42.0,2,R,18,1.0,5.0,,0,56.0,9601,127993
XXXX,36.0,1,S,30,,6.0,6.0,13,45.0,9510,170916
XXXX,,3,U,30,,5.0,0.0,0,101.0,9508,151564
XXXX,83.0,3,C,30,,4.0,5.0,1,77.0,9504,40352
XXXX,83.0,2,R,18,,2.0,5.0,7,209.0,9601,85852
XXXX,46.0,1,S,18,,6.0,9.0,8,324.0,9601,127375
XXXX,,2,T,30,,7.0,8.0,0,302.0,9506,5293
XXXX,71.0,1,C,30,,4.0,7.0,6,170.0,9512,113414
XXXX,59.0,2,R,30,,4.0,2.0,1,38.0,9512,29102
XXXX,54.0,3,C,30,,2.0,0.0,2,40.0,9512,134981
XXXX,64.0,3,U,30,,2.0,4.0,2,76.0,9506,10813
XXXX,42.0,2,R,30,3.0,2.0,,0,34.0,9512,133437
XXXX,69.0,1,S,30,,7.0,9.0,1,119.0,9512,104857
XXXX,24.0,3,R,30,,6.0,7.0,12,72.5,9512,54783
XXXX,87.0,2,T,30,,,,0,108.0,9512,179048
XXXX,69.0,3,C,30,,1.0,4.0,2,45.0,9512,75254
XXXX,59.0,2,R,18,,1.0,,0,77.0,9602,107819
XXXX,80.0,1,U,4,,3.0,7.0,7,308.0,9702,9431
XXXX,50.0,1,U,30,3.0,6.0,5.0,6,25.0,9509,163067
XXXX,74.0,1,S,30,,2.0,4.0,6,35.0,9511,134320
XXXX,72.0,2,C,18,,1.0,4.0,8,34.0,9603,32710
XXXX,76.0,,,18,,5.0,,0,83.0,9601,191271
XXXX,29.0,1,C,30,,5.0,8.0,0,50.0,9506,132348
XXXX,49.0,3,C,30,2.0,6.0,,0,20.0,9510,73424
XXXX,72.0,2,T,30,,,,0,93.5,9512,80536
XXXX,51.0,2,R,30,,1.0,5.0,0,150.0,9511,191079
XXXX,36.0,1,S,18,,5.0,,0,62.0,9603,127352
XXXX,54.0,2,R,18,1.0,4.0,,0,54.0,9601,127619
XXXX,85.0,3,C,30,,,,0,148.0,9512,135992
XXXX,,1,T,30,,1.0,9.0,18,358.0,9512,7823
XXXX,42.0,1,S,18,,6.0,,0,55.0,9601,129810
XXXX,33.0,1,C,30,,3.0,2.0,8,132.0,9512,159222
XXXX,,1,C,18,,,,0,15.0,9602,100760
XXXX,42.0,1,C,30,1.0,5.0,,0,136.0,9511,55759
XXXX,44.0,1,S,30,,3.0,,0,25.0,9507,144904
XXXX,70.0,3,C,30,,2.0,3.0,11,55.0,9512,176279
XXXX,73.0,1,R,30,,1.0,5.0,1,70.0,9512,72170
XXXX,,1,S,30,,,,0,25.0,9510,83942
XXXX,67.0,2,R,18,,2.0,1.0,17,28.0,9603,87589
XXXX,36.0,2,S,30,1.0,4.0,,0,40.0,9512,53645
XXXX,56.0,3,C,18,,,,0,179.0,9601,180470
XXXX,54.0,1,S,18,,3.0,,0,39.0,9601,66621
XXXX,43.0,1,S,30,1.0,3.0,7.0,9,215.0,9508,164641
XXXX,73.0,3,R,30,,3.0,1.0,19,25.0,9509,103821
XXXX,52.0,1,S,30,,2.0,8.0,16,103.0,9510,79624
XXXX,88.0,2,C,18,,1.0,8.0,4,43.0,9601,81927
XXXX,,2,R,30,,3.0,4.0,0,119.0,9512,58291
XXXX,,2,U,18,,1.0,6.0,8,116.0,9601,90783
XXXX,78.0,1,S,30,,3.0,7.0,1,106.0,9512,100839
XXXX,,3,C,18,,,,0,30.0,9601,2745
XXXX,71.0,2,S,30,,5.0,3.0,0,217.0,9510,148208
XXXX,62.0,3,C,30,,,,0,207.0,9512,182936
XXXX,,2,R,30,,,,0,15.0,9507,57045
XXXX,,3,R,18,,,,0,143.0,9602,111159
XXXX,,2,U,30,,,,0,40.0,9512,167994
XXXX,,2,C,30,,,,0,227.0,9512,160338
XXXX,54.0,4,U,30,,1.0,,0,46.0,9510,108281
XXXX,50.0,2,R,30,,3.0,6.0,6,124.0,9512,103458
XXXX,77.0,1,C,30,,,,0,214.0,9506,43388
XXXX,50.0,1,S,30,,7.0,9.0,3,42.0,9511,121880
XXXX,,,,18,,5.0,,0,146.0,9601,56021
XXXX,52.0,3,C,30,,2.0,,0,67.0,9512,184103
XXXX,60.0,1,S,18,,7.0,7.0,0,45.0,9602,173706
XXXX,,1,T,30,,2.0,6.0,1,141.0,9512,97872
XXXX,75.0,1,S,18,2.0,5.0,7.0,50,74.79,9602,64761
XXXX,38.0,2,U,18,,6.0,,0,42.0,9601,148614
XXXX,62.0,1,R,18,1.0,4.0,8.0,4,30.0,9602,49661
XXXX,66.0,2,R,30,,2.0,,0,100.0,9512,173813
XXXX,56.0,3,R,30,,2.0,2.0,0,43.0,9509,15243
XXXX,68.0,1,T,18,1.0,7.0,8.0,4,74.5,9602,55407
XXXX,70.0,2,C,30,,2.0,6.0,6,104.0,9511,42612
XXXX,50.0,2,R,18,,5.0,,0,98.0,9602,80014
XXXX,,2,R,18,,2.0,,0,30.0,9601,132452
XXXX,83.0,,,18,,5.0,4.0,14,114.0,9601,169644
XXXX,35.0,1,U,30,,,,0,60.0,9512,167944
XXXX,85.0,1,S,18,,,,0,158.0,9601,83714
XXXX,50.0,1,T,18,2.0,7.0,9.0,1,25.0,9601,111437
XXXX,34.0,1,S,18,,7.0,,0,50.0,9602,66647
XXXX,52.0,2,T,18,,5.0,7.0,0,361.0,9601,15669
XXXX,,2,T,18,,,,0,35.0,9603,106535
XXXX,45.0,2,C,30,3.0,4.0,,0,27.0,9512,107708
XXXX,71.0,3,C,18,,2.0,4.0,16,105.0,9603,110531
XXXX,,2,C,30,,,,0,46.0,9509,169786
XXXX,96.0,4,U,30,,5.0,1.0,24,50.0,9509,143538
XXXX,64.0,1,C,30,,4.0,7.0,0,191.0,9512,90498
XXXX,48.0,2,C,30,,5.0,8.0,6,15.0,9512,43985
XXXX,52.0,1,S,30,,7.0,9.0,6,39.0,9512,130631
XXXX,36.0,1,U,30,,5.0,8.0,0,60.0,9511,179400
XXXX,82.0,2,T,30,1.0,5.0,8.0,6,94.0,9512,91004
XXXX,55.0,1,S,30,,7.0,8.0,5,95.0,9512,84152
XXXX,,2,R,30,,6.0,6.0,1,25.0,9511,137040
XXXX,70.0,3,U,30,1.0,5.0,4.0,7,50.0,9510,158050
XXXX,,3,C,30,,4.0,,0,60.0,9510,36945
XXXX,61.0,2,C,18,,2.0,1.0,0,52.0,9601,141258
XXXX,62.0,3,U,30,,4.0,2.0,10,143.0,9512,6115
XXXX,61.0,1,T,30,,4.0,8.0,0,92.0,9512,55263
XXXX,76.0,2,C,18,,1.0,4.0,10,56.0,9601,32378
XXXX,39.0,2,R,30,4.0,4.0,3.0,4,27.0,9512,69830
XXXX,71.0,3,C,18,,,,0,80.0,9602,125218
XXXX,74.0,2,T,30,,7.0,7.0,2,20.0,9510,109136
XXXX,66.0,2,U,18,1.0,4.0,3.0,0,160.0,9601,189909
XXXX,76.0,2,T,18,,2.0,3.0,3,40.0,9601,21013
XXXX,48.0,3,U,30,1.0,2.0,,0,128.0,9512,65684
XXXX,,2,R,30,,2.0,,0,25.0,9512,111184
XXXX,82.0,2,T,18,,2.0,,0,20.0,9602,154606
XXXX,94.0,2,S,18,,,,0,149.0,9602,93642
XXXX,36.0,1,T,30,,7.0,,0,283.0,9512,161083
XXXX,,2,T,30,,,,0,35.0,9511,114351
XXXX,82.0,2,C,5,,3.0,0.0,12,190.0,9701,188599
