STATE,TIMEDIFF,SESNEI,UCITY,AGE,MDMAUD,DOMAIN,CLUSTER,HOMEOWNR,NUMCHLD,INCOME,GENDER,WEALTH1,HIT,RAMNTALL,LASTGIFT,LASTDATE,TIMELAG,AVGGIFT,CONTROLN
IL,26,1,S,58.0,XXXX,S1,13.0,H,1.0,7.0,M,,0,105.0,30.0,9504,21.0,21.0,88707
TX,24,2,R,59.0,XXXX,R2,44.0, ,,, ,,0,139.0,10.0,9506,4.0,8.1764705882,122546
TN,17,1,S,44.0,XXXX,S1,11.0,H,,7.0,M,9.0,0,15.0,15.0,9601,,15.0,50919
IN,26,2,T,40.0,XXXX,T2,40.0,H,1.0,5.0,F,9.0,1,112.0,27.0,9504,3.0,16.0,59213
MN,15,2,R,58.0,XXXX,R2,49.0,H,,6.0,M,5.0,32,118.0,10.0,9603,2.0,9.0769230769,84738
CA,24,1,T,60.0,XXXX,T1,35.0,H,,2.0,F,6.0,8,15.0,15.0,9506,,15.0,160186
WI,18,1,S,47.0,XXXX,S1,12.0,H,2.0,5.0,M,8.0,3,89.0,12.0,9512,8.0,5.9333333333,80539
NC,19,2,C,47.0,XXXX,C2,27.0,H,1.0,3.0,F,6.0,1,147.0,25.0,9511,1.0,16.333333333,15364
IL,18,2,T,86.0,XXXX,T2,37.0,U,,2.0,F,2.0,8,149.0,10.0,9512,1.0,8.2777777778,88531
FL,20,1,S,69.0,XXXX,S1,13.0, ,,,F,,0,175.0,20.0,9510,5.0,29.166666667,37871
NC,25,3,R,80.0,XXXX,R3,50.0,U,,2.0,F,,0,110.0,18.0,9505,3.0,15.714285714,20652
CA,23,2,S,57.0,XXXX,S2,18.0,H,,4.0,F,4.0,4,161.0,25.0,9507,13.0,20.125,169029
TX,21,3,C,32.0,XXXX,C3,30.0,H,,4.0,F,0.0,4,25.0,25.0,9509,,25.0,126435
SC,15,1,C,78.0,XXXX,C1,24.0,H,,4.0,U,8.0,21,248.0,6.0,9603,3.0,8.0,24360
MO,21,1,S,67.0,XXXX,S1,13.0,H,,7.0,M,9.0,1,111.0,15.0,9509,15.0,7.9285714286,100346
KY,16,2,R,43.0,XXXX,R2,45.0,U,,4.0,F,3.0,0,128.0,25.0,9602,10.0,10.666666667,58310
CA,18,2,S,74.0,XXXX,S2,17.0,H,,5.0,F,4.0,5,159.0,30.0,9512,0.0,17.666666667,7180
WA,15,1,S,66.0,XXXX,S1,11.0,H,,5.0,F,,0,32.0,9.0,9603,6.0,8.0,180183
TX,15,2,T,45.0,XXXX,T2,36.0,H,2.0,4.0,M,,0,222.0,10.0,9603,8.0,11.684210526,119870
IL,19,2,R,,XXXX,R2,45.0, ,,,F,,0,54.0,16.0,9511,13.0,5.4,98884
IL,23,1,S,49.0,XXXX,S1,12.0,H,,7.0,F,9.0,1,96.0,10.0,9507,11.0,6.8571428571,89296
CA,21,1,C,56.0,XXXX,C1,23.0,H,,4.0,M,4.0,4,15.0,15.0,9509,,15.0,161401
OR,16,2,S,53.0,XXXX,S2,20.0,H,1.0,3.0,F,8.0,5,149.0,15.0,9602,4.0,9.9333333333,175312
ID,24,2,R,,XXXX,R2,46.0,U,,4.0,F,,0,58.0,20.0,9506,9.0,14.5,133451
NC,21,1,T,44.0,XXXX,T1,34.0,H,2.0,7.0,F,8.0,12,37.0,15.0,9509,6.0,9.25,17514
NM,18,2,T,23.0,XXXX,T2,40.0,U,,5.0,F,5.0,1,76.0,16.0,9512,5.0,12.666666667,140358
AL,16,2,T,56.0,XXXX,T2,39.0, ,,,F,,0,63.0,20.0,9602,21.0,10.5,48954
CA,16,4,U,77.0,XXXX,U4,10.0,H,,1.0,M,1.0,1,37.0,3.0,9602,3.0,3.3636363636,143076
TX,25,2,T,68.0,XXXX,T2,40.0,H,,7.0,F,,0,311.0,54.0,9505,21.0,34.555555556,118934
MO,20,2,S,56.0,XXXX,S2,17.0,H,,4.0,M,,0,161.0,20.0,9510,9.0,13.416666667,102203
IL,18,2,T,68.0,XXXX,T2,36.0,H,,1.0,M,2.0,0,42.0,20.0,9512,11.0,14.0,98210
OR,27,,,94.0,D2CM, ,,U,,2.0,F,7.0,7,709.0,12.0,9503,9.0,41.705882353,5593
NC,17,2,R,,XXXX,R2,44.0,U,,3.0,F,6.0,0,60.0,25.0,9601,5.0,20.0,15265
CA,22,1,T,84.0,XXXX,T1,35.0,H,,3.0,M,,0,56.0,10.0,9508,1.0,9.3333333333,155301
WI,17,2,R,57.0,XXXX,R2,48.0,H,2.0,4.0,F,2.0,28,107.0,12.0,9601,10.0,6.2941176471,79738
MI,17,3,U,36.0,XXXX,U3,8.0,U,,1.0,M,3.0,2,46.0,11.0,9601,5.0,7.6666666667,68216
TX,21,1,C,86.0,XXXX,C1,24.0,H,,4.0,M,,0,67.0,15.0,9509,13.0,9.5714285714,119511
NC,15,2,T,,XXXX,T2,39.0,H,,5.0,F,6.0,0,20.0,20.0,9603,,20.0,21153
HI,18,2,T,,XXXX,T2,39.0, ,,,F,,0,262.0,10.0,9512,6.0,7.4857142857,173614
WI,19,1,T,70.0,XXXX,T1,35.0,H,,5.0,M,8.0,0,125.0,10.0,9511,13.0,9.6153846154,77408
OR,19,2,T,70.0,XXXX,T2,40.0,H,,5.0,F,8.0,16,40.0,20.0,9511,13.0,20.0,174692
FL,19,2,T,,XXXX,T2,40.0, ,,,F,,0,115.0,25.0,9511,6.0,16.428571429,188232
WI,24,2,R,78.0,XXXX,R2,44.0,U,,2.0,F,4.0,4,40.0,20.0,9506,4.0,13.333333333,79168
GA,24,1,C,,XXXX,C1,24.0, ,,,M,,0,20.0,20.0,9506,,20.0,30340
TX,16,2,R,52.0,XXXX,R2,45.0,H,,5.0,F,,0,22.0,10.0,9602,6.0,7.3333333333,118461
IN,16,2,S,43.0,XXXX,S2,18.0,H,,4.0,F,7.0,1,47.0,17.0,9602,6.0,15.666666667,60285
MT,17,2,R,40.0,XXXX,R2,45.0,U,,4.0,F,4.0,3,175.0,20.0,9601,17.0,13.461538462,86849
CA,18,2,S,,XXXX,S2,19.0, ,,, ,,0,118.0,17.0,9512,10.0,9.8333333333,145694
CA,21,3,S,83.0,XXXX,S3,21.0,H,,4.0,F,4.0,9,110.0,25.0,9509,6.0,10.0,150333
AZ,15,1,C,41.0,XXXX,C1,22.0,H,,7.0,F,8.0,1,31.0,4.0,9603,8.0,3.4444444444,137336
IL,19,2,U,68.0,XXXX,U2,5.0,U,,4.0,F,,0,23.0,5.0,9511,7.0,3.2857142857,88763
AK,6,1,C,72.0,XXXX,C1,24.0, ,,3.0,U,8.0,1,97.0,25.0,9612,13.0,16.166666667,189638
TX,25,2,R,74.0,XXXX,R2,45.0,U,,1.0,U,,0,95.0,21.0,9505,1.0,15.833333333,116804
WI,18,1,T,88.0,XXXX,T1,34.0,H,,7.0,F,9.0,10,378.0,14.0,9512,42.0,8.4,10790
UT,19,1,C,75.0,XXXX,C1,24.0,U,,3.0,M,5.0,5,78.0,21.0,9511,7.0,13.0,8221
AR,17,3,R,48.0,XXXX,R3,51.0,U,,1.0,F,,0,107.0,10.0,9601,8.0,7.6428571429,13010
GA,17,2,R,50.0,XXXX,R2,49.0, ,,,F,,0,219.0,13.0,9601,6.0,9.5217391304,29150
GA,17,2,R,,XXXX,R2,49.0,H,,5.0,M,4.0,4,59.0,17.0,9601,8.0,14.75,27211
CA,18,1,U,,XXXX,U1,1.0,U,,5.0,M,8.0,0,68.0,5.0,9512,2.0,4.0,11175
AZ,22,4,U,62.0,XXXX,U4,10.0, ,,,F,,0,56.0,20.0,9508,6.0,14.0,135509
MO,26,1,S,68.0,XXXX,S1,12.0,U,,7.0,F,,0,176.0,20.0,9504,2.0,6.7692307692,102253
TX,19,3,S,,XXXX,S3,21.0,H,,2.0,F,4.0,8,94.0,13.0,9511,5.0,9.4,125222
KY,18,2,T,45.0,XXXX,T2,39.0,H,,3.0,M,6.0,9,53.0,15.0,9512,18.0,10.6,56460
WA,18,2,C,,XXXX,C2,27.0,H,1.0,4.0,U,,0,75.0,25.0,9512,8.0,18.75,181681
MI,16,1,T,49.0,XXXX,T1,35.0,H,1.0,7.0,F,,0,74.0,20.0,9602,12.0,10.571428571,65826
OR,18,3,C,81.0,XXXX,C3,30.0,H,,2.0,M,,0,148.0,15.0,9512,2.0,7.0476190476,177175
SC,16,2,T,44.0,XXXX,T2,39.0,H,2.0,5.0,F,5.0,2,47.0,15.0,9602,6.0,11.75,23171
GA,15,2,T,,XXXX,T2,36.0, ,,,F,,0,23.0,23.0,9603,,23.0,30069
MI,19,2,R,71.0,XXXX,R2,43.0,H,,2.0,M,2.0,6,74.0,10.0,9511,6.0,9.25,71253
FL,18,2,C,72.0,XXXX,C2,28.0,H,1.0,2.0,M,,0,72.0,27.0,9512,7.0,24.0,34809
TX,24,2,U,67.0,XXXX,U2,4.0,H,,5.0,M,5.0,1,24.0,24.0,9506,,24.0,121839
KY,18,2,C,79.0,XXXX,C2,28.0,H,,2.0,M,5.0,4,91.0,10.0,9512,10.0,9.1,58224
MI,18,3,S,74.0,XXXX,S3,21.0,H,,2.0,F,5.0,27,185.0,15.0,9512,27.0,15.416666667,8515
FL,22,2,S,,XXXX,S2,20.0, ,,,M,,0,43.0,11.0,9508,5.0,10.75,42053
NC,18,2,T,79.0,XXXX,T2,36.0,H,,2.0,F,6.0,1,82.0,15.0,9512,22.0,11.714285714,15937
NM,16,3,T,77.0,XXXX,T3,41.0,U,,2.0,M,,0,104.0,12.0,9602,2.0,6.1176470588,140594
TX,16,1,C,64.0,XXXX,C1,24.0,H,,2.0,F,,0,65.0,10.0,9602,3.0,21.666666667,123766
AR,17,2,T,72.0,XXXX,T2,39.0,U,,3.0,M,6.0,3,93.0,10.0,9601,3.0,7.1538461538,111073
IL,18,2,R,53.0,XXXX,R2,46.0,H,1.0,2.0,M,6.0,8,47.0,10.0,9512,9.0,9.4,92497
TX,17,3,S,66.0,XXXX,S3,21.0,H,3.0,2.0,M,3.0,13,20.0,20.0,9601,,20.0,119554
FL,18,2,R,,XXXX,R2,47.0, ,,, ,,0,295.0,25.0,9512,5.0,32.777777778,189737
SD,17,2,C,,XXXX,C2,25.0,H,1.0,2.0,M,5.0,1,82.0,10.0,9601,5.0,5.4666666667,86002
AR,17,,,34.0,XXXX, ,,H,3.0,5.0,M,,0,15.0,15.0,9601,,15.0,117871
TX,18,3,T,86.0,XXXX,T3,41.0, ,,,F,,0,221.0,25.0,9512,15.0,18.416666667,126539
CA,20,1,C,77.0,XXXX,C1,24.0, ,,, ,,0,66.0,18.0,9510,36.0,13.2,160176
MI,17,3,S,45.0,XXXX,S3,21.0,H,,3.0,F,1.0,0,67.0,5.0,9601,3.0,5.5833333333,71422
OK,16,2,S,53.0,XXXX,S2,18.0,H,,6.0,F,8.0,14,81.0,10.0,9602,2.0,7.3636363636,113540
CA,15,3,C,84.0,XXXX,C3,30.0,U,,1.0,F,1.0,16,68.0,12.0,9603,5.0,9.7142857143,155635
FL,19,2,U,70.0,XXXX,U2,7.0,H,,5.0,F,4.0,3,159.0,14.0,9511,4.0,10.6,41978
CA,26,1,U,87.0,XXXX,U1,1.0,U,,3.0,M,,0,233.0,10.0,9504,7.0,12.944444444,145360
FL,18,2,T,,XXXX,T2,40.0, ,,,M,,0,22.0,10.0,9512,3.0,7.3333333333,65088
MI,21,2,R,,XXXX,R2,46.0,U,,5.0,M,,0,120.5,10.0,9509,6.0,6.6944444444,74333
FL,18,1,U,75.0,XXXX,U1,2.0, ,,,F,,0,68.0,3.0,9512,8.0,4.8571428571,41574
NC,20,2,C,68.0,XXXX,C2,28.0,H,,2.0,M,7.0,5,210.0,15.0,9510,7.0,16.153846154,21044
AL,25,3,C,,XXXX,C3,30.0,U,,2.0,F,1.0,0,74.0,20.0,9505,14.0,5.2857142857,48142
IL,17,3,U,67.0,XXXX,U3,8.0, ,,,F,,0,20.0,20.0,9601,,20.0,93394
LA,17,2,R,47.0,XXXX,R2,47.0,H,1.0,5.0,M,3.0,4,122.0,15.0,9601,2.0,9.3846153846,108758
KS,18,2,C,58.0,XXXX,C2,27.0,H,,3.0,F,5.0,0,171.52,27.0,9512,10.0,15.592727273,106294
TX,11,2,R,42.0,XXXX,R2,49.0,U,,7.0,F,,0,40.0,10.0,9607,0.0,13.333333333,3059
MI,17,1,S,32.0,XXXX,S1,11.0,H,,5.0,F,8.0,7,65.0,25.0,9601,6.0,21.666666667,71113
OK,15,2,T,53.0,XXXX,T2,36.0, ,,,F,,0,41.0,15.0,9603,19.0,10.25,115095
CA,5,2,R,63.0,XXXX,R2,49.0,H,,4.0,M,,0,142.0,0.0,9701,7.0,20.285714286,11711
LA,24,1,C,,XXXX,C1,24.0, ,,,M,,0,38.0,20.0,9506,1.0,9.5,108991
TX,24,2,C,54.0,XXXX,C2,27.0,H,,7.0,M,8.0,16,40.0,15.0,9506,10.0,10.0,122794
FL,18,1,T,46.0,XXXX,T1,35.0, ,,4.0,F,7.0,0,372.0,24.0,9512,10.0,18.6,190686
CA,20,1,R,,XXXX,R1,42.0, ,,, ,,0,27.0,10.0,9510,7.0,6.75,156290
WA,18,2,T,50.0,XXXX,T2,40.0,H,,4.0,F,,0,75.0,25.0,9512,3.0,25.0,181870
FL,19,1,S,57.0,XXXX,S1,14.0,H,2.0,7.0,F,9.0,1,115.0,19.0,9511,11.0,11.5,36232
IN,19,1,S,84.0,XXXX,S1,11.0,U,,3.0,M,9.0,11,80.0,23.0,9511,11.0,16.0,60631
NC,17,2,R,,XXXX,R2,46.0, ,,,F,,0,37.0,10.0,9601,11.0,6.1666666667,21962
CO,18,1,U,60.0,XXXX,U1,2.0,H,,7.0,M,9.0,12,75.0,25.0,9512,13.0,18.75,7083
IL,16,2,T,50.0,XXXX,T2,39.0,H,,5.0,F,4.0,8,41.0,7.0,9602,7.0,6.8333333333,95924
MI,18,2,R,80.0,XXXX,R2,44.0,H,,2.0,M,6.0,14,54.0,10.0,9512,11.0,9.0,69741
MO,18,2,T,57.0,XXXX,T2,36.0,H,2.0,5.0,M,6.0,12,163.0,25.0,9512,8.0,13.583333333,101239
CA,17,1,U,30.0,XXXX,U1,2.0,U,,1.0,F,,0,34.0,15.0,9601,6.0,8.5,145768
MN,22,3,R,,XXXX,R3,51.0, ,,,F,,0,42.0,10.0,9508,12.0,6.0,84308
MN,26,1,S,54.0,XXXX,S1,14.0,H,,7.0,M,9.0,1,70.0,15.0,9504,15.0,10.0,83468
MN,19,4,U,59.0,XXXX,U4,10.0, ,,,M,,0,229.0,13.0,9511,7.0,8.4814814815,82776
CA,16,1,R,71.0,XXXX,R1,42.0,H,,5.0,F,3.0,4,70.0,10.0,9602,7.0,10.0,154592
AL,24,1,C,,XXXX,C1,24.0,H,,5.0,U,9.0,2,108.0,25.0,9506,7.0,15.428571429,48284
CA,15,1,S,,XXXX,S1,12.0, ,,,F,,0,100.0,35.0,9603,24.0,25.0,150371
MI,21,2,S,,XXXX,S2,18.0, ,,,F,,0,20.0,20.0,9509,,20.0,67889
IL,18,4,U,46.0,XXXX,U4,10.0,H,1.0,5.0,F,,0,118.0,5.0,9512,1.0,5.619047619,94632
MI,20,2,S,,XXXX,S2,18.0,H,1.0,6.0,F,,0,29.0,7.0,9510,5.0,7.25,71110
CO,22,1,T,40.0,XXXX,T1,35.0,H,,7.0,M,8.0,10,85.0,25.0,9508,14.0,28.333333333,129643
FL,17,2,C,80.0,XXXX,C2,28.0,U,,1.0,M,2.0,2,45.0,15.0,9601,4.0,11.25,43292
CA,18,2,U,,XXXX,U2,6.0, ,,,F,,0,38.0,7.0,9512,1.0,6.3333333333,143822
TX,16,3,U,88.0,XXXX,U3,8.0,H,,1.0,M,0.0,7,15.0,15.0,9602,,15.0,128703
LA,18,1,U,,XXXX,U1,2.0, ,,,M,,0,104.0,4.0,9512,4.0,6.5,191677
MI,23,2,R,62.0,XXXX,R2,46.0,U,,3.0,F,,0,145.0,20.0,9507,6.0,11.153846154,74098
TX,15,2,T,,XXXX,T2,36.0, ,,,F,,0,32.0,4.0,9603,3.0,5.3333333333,187363
IL,24,1,S,57.0,XXXX,S1,12.0,H,2.0,7.0,F,8.0,0,305.0,10.0,9506,6.0,21.785714286,88660
NC,18,2,C,35.0,XXXX,C2,25.0,U,,1.0,F,6.0,0,35.0,15.0,9512,17.0,11.666666667,19506
NC,19,2,T,,XXXX,T2,36.0,U,,5.0,F,6.0,0,105.0,10.0,9511,3.0,7.0,21423
ID,17,1,C,47.0,XXXX,C1,24.0,H,,5.0,M,9.0,1,154.0,13.0,9601,6.0,8.5555555556,133253
SC,22,3,C,52.0,XXXX,C3,31.0,U,,2.0,F,,0,59.0,20.0,9508,11.0,8.4285714286,24339
GA,16,2,R,,XXXX,R2,49.0, ,,,F,,0,38.0,5.0,9602,7.0,6.3333333333,31354
SC,18,3,T,,XXXX,T3,41.0,H,,5.0,F,6.0,0,76.0,15.0,9512,7.0,8.4444444444,24577
GA,15,1,S,,XXXX,S1,14.0, ,,,F,,0,20.0,5.0,9603,9.0,6.6666666667,190089
NE,23,2,R,,XXXX,R2,49.0, ,,,F,,0,372.0,10.0,9507,8.0,20.666666667,107127
MO,21,2,R,72.0,XXXX,R2,45.0,H,,3.0,M,4.0,0,39.0,15.0,9509,8.0,9.75,101685
OK,17,2,R,,XXXX,R2,43.0, ,,1.0,M,,0,276.0,14.0,9601,7.0,10.222222222,9787
TN,4,,,86.0,XXXX, ,, ,,7.0,M,3.0,2,77.0,7.0,9702,11.0,6.4166666667,2121
FL,15,3,U,58.0,XXXX,U3,8.0,H,,5.0,F,3.0,3,116.0,12.0,9603,28.0,10.545454545,37218
MS,15,3,R,73.0,XXXX,R3,50.0,U,,2.0,F,0.0,3,15.0,15.0,9603,,15.0,54652
WA,16,2,T,63.0,XXXX,T2,36.0,H,,4.0,M,,0,206.0,20.0,9602,3.0,9.8095238095,182772
NM,18,2,U,79.0,XXXX,U2,5.0, ,,,F,,0,264.0,16.0,9512,14.0,15.529411765,139610
AZ,15,1,S,,XXXX,S1,13.0,U,,4.0,F,9.0,0,35.0,15.0,9603,5.0,8.75,136408
TX,15,1,S,62.0,XXXX,S1,11.0,H,,3.0,M,9.0,26,50.0,10.0,9603,5.0,16.666666667,127419
AZ,26,3,S,74.0,XXXX,S3,21.0,H,,4.0,F,4.0,0,58.0,15.0,9504,10.0,11.6,137282
NY,24,2,S,74.0,XXXX,S2,20.0, ,,,F,,0,60.0,15.0,9506,4.0,7.5,45939
NE,17,3,C,44.0,XXXX,C3,31.0,U,2.0,3.0,M,,0,30.0,20.0,9601,12.0,15.0,107488
WA,18,2,T,81.0,XXXX,T2,37.0,U,,2.0,M,,0,80.5,15.0,9512,13.0,8.05,182912
MN,24,1,U,79.0,XXXX,U1,2.0, ,,,M,,0,156.0,15.0,9506,3.0,9.1764705882,82520
OR,24,2,R,37.0,XXXX,R2,45.0, ,,, ,,0,105.0,10.0,9506,10.0,5.5263157895,177885
NM,15,2,T,,XXXX,T2,39.0, ,,, ,,0,169.0,18.0,9603,4.0,15.363636364,139640
TX,15,2,S,63.0,XXXX,S2,18.0,H,,4.0,F,7.0,0,20.0,5.0,9603,4.0,6.6666666667,119581
CA,20,2,S,,XXXX,S2,18.0,H,,5.0,M,6.0,0,25.0,25.0,9510,,25.0,151851
OR,23,3,C,65.0,XXXX,C3,30.0,U,,4.0,M,,0,68.0,7.0,9507,8.0,7.5555555556,9920
IL,25,3,S,69.0,XXXX,S3,21.0,H,,5.0,M,2.0,0,40.0,25.0,9505,7.0,20.0,96464
TX,22,2,S,42.0,XXXX,S2,16.0,H,1.0,1.0,M,3.0,7,128.0,15.0,9508,4.0,11.636363636,119468
MI,26,2,T,69.0,XXXX,T2,40.0,H,,5.0,M,4.0,27,207.0,10.0,9504,4.0,7.1379310345,73931
NV,16,1,S,50.0,XXXX,S1,12.0,H,,7.0,F,,0,15.0,15.0,9602,,15.0,142269
LA,18,1,S,65.0,XXXX,S1,12.0,H,3.0,5.0,M,9.0,4,51.0,14.0,9512,3.0,12.75,108078
AL,18,3,R,50.0,XXXX,R3,51.0,U,,2.0,F,4.0,0,53.0,15.0,9512,25.0,8.8333333333,48868
IL,25,2,U,47.0,XXXX,U2,6.0,H,2.0,4.0,F,5.0,6,62.0,15.0,9505,12.0,8.8571428571,94309
SC,17,1,T,63.0,XXXX,T1,35.0,U,,5.0,M,9.0,40,180.0,25.0,9601,5.0,18.0,11969
MI,22,3,C,,XXXX,C3,30.0, ,,,M,,0,233.0,15.0,9508,20.0,14.5625,74607
TX,20,1,S,45.0,XXXX,S1,15.0,H,3.0,6.0,F,8.0,5,26.0,16.0,9510,24.0,13.0,125589
AR,17,2,R,31.0,XXXX,R2,49.0,H,,3.0,M,8.0,1,106.0,24.0,9601,3.0,5.8888888889,111222
KS,22,1,S,59.0,XXXX,S1,14.0,H,,4.0,F,9.0,1,73.0,21.0,9508,7.0,8.1111111111,105996
CA,19,1,U,69.0,XXXX,U1,3.0, ,,,F,,0,255.0,20.0,9511,9.0,21.25,149445
CA,15,1,S,53.0,XXXX,S1,11.0,H,,5.0,F,9.0,0,153.0,10.0,9603,3.0,9.5625,157342
TX,24,1,C,,XXXX,C1,24.0, ,,, ,,0,15.0,15.0,9506,,15.0,118886
NH,17,2,T,80.0,XXXX,T2,36.0,U,,2.0,M,2.0,1,80.97,5.0,9601,5.0,4.0485,44662
CO,18,1,S,61.0,XXXX,S1,14.0,H,,5.0,F,9.0,0,30.0,20.0,9512,6.0,10.0,129719
IL,16,,,68.0,XXXX, ,,H,,5.0,M,,0,25.0,15.0,9602,4.0,12.5,91307
TX,26,2,R,54.0,XXXX,R2,49.0,H,,5.0,F,2.0,32,165.0,15.0,9504,4.0,8.6842105263,118933
MI,13,1,T,68.0,XXXX,T1,35.0,U,,4.0,F,8.0,10,214.0,15.0,9605,10.0,10.19047619,11898
ID,15,2,R,42.0,XXXX,R2,49.0,H,,7.0,F,,0,70.0,15.0,9603,5.0,8.75,133856
MO,26,2,T,52.0,XXXX,T2,36.0,H,,7.0,F,5.0,0,50.0,50.0,9504,,50.0,102796
OR,16,1,T,50.0,XXXX,T1,34.0, ,,,M,,0,61.0,10.0,9602,10.0,6.7777777778,177759
NC,16,1,C,50.0,XXXX,C1,22.0,U,,4.0,F,,0,15.0,15.0,9602,,15.0,18073
CA,15,1,S,72.0,XXXX,S1,12.0,H,,7.0,F,7.0,5,137.0,20.0,9603,8.0,12.454545455,154990
CA,19,1,U,54.0,XXXX,U1,2.0,H,,3.0,F,4.0,1,58.0,1.0,9511,2.0,3.625,163431
CA,26,1,S,86.0,XXXX,S1,11.0,U,,1.0,F,7.0,1,119.0,12.0,9504,2.0,9.1538461538,169751
CA,18,3,U,,XXXX,U3,9.0, ,,,M,,0,154.0,15.0,9512,18.0,9.625,146348
LA,24,2,U,50.0,XXXX,U2,4.0, ,,,F,,0,25.0,25.0,9506,,25.0,108311
TN,16,2,R,44.0,XXXX,R2,43.0,H,1.0,4.0,F,,0,30.0,16.0,9602,4.0,10.0,50705
AL,17,2,R,43.0,XXXX,R2,43.0,U,,1.0,M,4.0,0,71.0,17.0,9601,9.0,11.833333333,48073
LA,23,3,R,52.0,XXXX,R3,51.0,U,,5.0,F,,0,15.0,15.0,9507,,15.0,109977
KY,24,1,C,52.0,XXXX,C1,22.0,H,1.0,7.0,F,9.0,3,547.0,28.0,9506,1.0,23.782608696,57301
GA,22,2,T,38.0,XXXX,T2,40.0,H,,5.0,F,,0,75.0,15.0,9508,6.0,9.375,26574
IL,26,1,T,,XXXX,T1,34.0, ,,,F,,0,100.0,10.0,9504,6.0,6.25,43527
NV,17,2,S,75.0,XXXX,S2,18.0,H,,4.0,F,5.0,0,102.0,25.0,9601,4.0,17.0,141090
LA,17,1,C,,XXXX,C1,22.0, ,,,F,,0,15.0,15.0,9601,,15.0,148425
SC,19,2,T,72.0,XXXX,T2,36.0,U,,2.0,F,0.0,0,84.0,21.0,9511,3.0,16.8,24068
CA,18,1,C,,XXXX,C1,22.0, ,,,F,,0,126.0,10.0,9512,4.0,9.0,156511
GA,17,2,R,72.0,XXXX,R2,45.0,U,,1.0,U,,0,177.0,16.0,9601,8.0,8.85,28989
MI,25,2,T,74.0,XXXX,T2,40.0,H,,2.0,F,,0,20.0,20.0,9505,,20.0,66454
TX,16,1,S,31.0,XXXX,S1,15.0,H,,4.0,M,6.0,1,24.0,4.0,9602,3.0,8.0,125694
WA,19,2,C,89.0,XXXX,C2,29.0, ,,, ,,0,166.0,20.0,9511,3.0,8.3,180293
TX,22,,,,XXXX, ,, ,,,F,,0,26.0,6.0,9508,11.0,4.3333333333,120668
TX,15,2,R,52.0,XXXX,R2,49.0,H,,4.0,F,5.0,1,70.0,25.0,9603,11.0,17.5,117851
OR,15,3,C,70.0,XXXX,C3,31.0,U,,1.0,F,,0,125.0,15.0,9603,2.0,11.363636364,183021
MI,17,3,C,73.0,XXXX,C3,31.0,H,,2.0,M,3.0,13,30.0,20.0,9601,3.0,15.0,66166
IL,25,1,S,34.0,XXXX,S1,11.0,H,2.0,7.0,F,9.0,2,55.0,15.0,9505,9.0,13.75,92559
MN,16,2,S,40.0,XXXX,S2,17.0,U,,4.0,M,8.0,2,55.0,30.0,9602,5.0,27.5,82864
TX,23,2,T,42.0,XXXX,T2,39.0,H,1.0,4.0,M,6.0,2,25.0,25.0,9507,,25.0,121447
NC,16,2,R,47.0,XXXX,R2,47.0,H,,5.0,F,2.0,0,143.0,10.0,9602,17.0,8.9375,16056
FL,15,3,C,62.0,XXXX,C3,33.0,U,,4.0,F,3.0,4,75.0,20.0,9603,14.0,12.5,39425
MI,17,2,S,70.0,XXXX,S2,16.0,H,,5.0,F,6.0,4,22.0,10.0,9601,3.0,7.3333333333,64661
MI,18,2,T,48.0,XXXX,T2,40.0,H,,5.0,F,,0,20.0,20.0,9512,,20.0,65515
MO,16,,,69.0,XXXX, ,,H,,4.0,M,9.0,31,111.0,21.0,9602,3.0,12.333333333,102057
CA,21,2,R,53.0,XXXX,R2,44.0,H,,5.0,F,,0,180.0,60.0,9509,19.0,25.714285714,169097
MN,4,,,73.0,XXXX, ,,H,1.0,5.0,F,6.0,45,230.0,25.0,9702,1.0,16.428571429,13319
OK,17,2,T,62.0,XXXX,T2,36.0,H,,2.0,M,,0,39.0,7.0,9601,3.0,6.5,113595
AL,16,,,76.0,XXXX, ,,H,,3.0,F,8.0,2,277.0,3.0,9602,6.0,6.5952380952,6810
TX,18,2,R,32.0,XXXX,R2,49.0,H,,3.0,F,,0,60.0,50.0,9512,9.0,30.0,111214
HI,17,3,S,,XXXX,S3,21.0, ,,,M,,0,55.0,15.0,9601,2.0,13.75,190065
IA,20,2,T,72.0,XXXX,T2,36.0,H,,2.0,M,5.0,21,93.0,7.0,9510,5.0,7.75,75693
CA,19,1,S,66.0,XXXX,S1,12.0,H,,5.0,M,7.0,17,129.0,4.0,9511,9.0,9.2142857143,165134
CA,15,1,S,,XXXX,S1,11.0,U,,7.0,F,9.0,0,37.0,5.0,9603,7.0,5.2857142857,134828
CA,18,1,U,75.0,XXXX,U1,2.0,U,,4.0,F,4.0,0,50.0,10.0,9512,3.0,6.25,143293
KS,24,3,C,93.0,XXXX,C3,32.0,H,,1.0,M,0.0,2,176.0,12.0,9506,12.0,10.352941176,8977
IL,16,2,C,65.0,XXXX,C2,26.0,U,,4.0,M,5.0,3,26.0,7.0,9602,6.0,5.2,91207
MI,26,2,U,,XXXX,U2,7.0, ,,, ,,0,27.0,15.0,9504,25.0,9.0,68014
AL,17,2,R,51.0,XXXX,R2,45.0, ,,,F,,0,44.0,15.0,9601,9.0,8.8,49062
IL,15,1,U,46.0,XXXX,U1,1.0,U,,7.0,F,,0,35.0,20.0,9603,13.0,11.666666667,87822
